"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5518.538,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5625.442,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5863.664,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2021",6690.093,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2022",7275.354,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5350.974,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5423.676,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2020",5509.054,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2021",6022.253,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2022",6599.981,"E"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3128.523,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3272.224,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2020",3804.101,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2021",4302.98,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2022",4498.535,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5306.704,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5359.776,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2020",5697.193,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2021",6372.074,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2022",6279.807,"P"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4330.443,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4383.634,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2020",4614.556,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2021",5251.501,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2022",5675.711,"E"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5097.228,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5163.421,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2020",5453.182,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2021",6105.608,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2022",6516.563,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6290.078,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6418.323,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2020",6945.909,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2021",7518.153,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2022",8010.935,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2314.696,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2019",2349.574,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2020",2486.091,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2021",2736.445,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2022",3015.251,"E"
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2106.896,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2019",2095.186,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2020",2421.807,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2021",2748.683,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2022",2840.101,"P"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4876.91,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2019",4976.129,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2020",5378.183,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2021",5860.738,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2022",6046.548,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3495.868,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2019",3565.324,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2020",3753.088,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2021",4042.558,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2022",4290.689,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2018",5292.055,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2019",5379.663,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2020",5628.497,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2021",6273.571,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2022",6436.062,"P"
"NLD","HEALTHEXP","TOT","USD_CAP","A","2018",5482.27,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2019",5643.59,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2020",6197.976,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2021",6785.295,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2022",7357.619,"E"
"POL","HEALTHEXP","TOT","USD_CAP","A","2018",2106.662,
"POL","HEALTHEXP","TOT","USD_CAP","A","2019",2232.347,
"POL","HEALTHEXP","TOT","USD_CAP","A","2020",2286.109,
"POL","HEALTHEXP","TOT","USD_CAP","A","2021",2522.435,
"POL","HEALTHEXP","TOT","USD_CAP","A","2022",2972.962,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2018",3134.128,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2019",3223.676,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2020",3354.909,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2021",3829.76,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2022",4162.088,"P"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2018",2008.975,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2019",2115.452,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2020",2125.666,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2021",2521.59,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2022",2690.785,"E"
"ESP","HEALTHEXP","TOT","USD_CAP","A","2018",3427.322,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2019",3528.382,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2020",3715.968,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2021",4086.783,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2022",4461.512,"E"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2018",5419.273,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2019",5387.733,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2020",5733.534,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2021",6227.612,"P"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2022",6437.692,"P"
"GBR","HEALTHEXP","TOT","USD_CAP","A","2018",4188.275,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2019",4389.038,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2020",4997.928,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2021",5466.568,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2022",5492.642,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2018",2364.073,
"EST","HEALTHEXP","TOT","USD_CAP","A","2019",2453.074,
"EST","HEALTHEXP","TOT","USD_CAP","A","2020",2731.011,
"EST","HEALTHEXP","TOT","USD_CAP","A","2021",3083.38,
"EST","HEALTHEXP","TOT","USD_CAP","A","2022",3091.401,"P"
"SVN","HEALTHEXP","TOT","USD_CAP","A","2018",3045.106,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2019",3221.895,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2020",3474.147,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2021",3884.819,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2022",4113.818,"P"
"LVA","HEALTHEXP","TOT","USD_CAP","A","2018",1860.969,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2019",2025.57,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2020",2227.896,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2021",3121.643,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2022",3445.296,"E"
"LTU","HEALTHEXP","TOT","USD_CAP","A","2018",2396.809,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2019",2682.067,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2020",2878.482,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2021",3336.477,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2022",3587.327,"P"
"BGR","HEALTHEXP","TOT","USD_CAP","A","2018",1766.905,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2019",1795.621,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2020",2122.982,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2021",2479.297,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2018",1882.167,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2019",2043.652,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2020",2158.935,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2021",2605.581,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2018",2615.209,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2019",2783.252,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2020",3120.853,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2021",3860.134,"P"
"MLT","HEALTHEXP","TOT","USD_CAP","A","2018",3771.99,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2019",4154.13,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2020",4315.813,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2018",1659.316,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2019",1844.269,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2020",2051.588,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2021",2384.52,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4120.625,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4222.821,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4504.759,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5241.151,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5663.7,"P"
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4100.433,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4081.614,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4292.961,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4674.031,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5057.595,"E"
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2655.449,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2780.961,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3336.273,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",3718.546,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",3837.221,"E"
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4444.355,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4486.639,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4828.686,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5429.407,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5324.07,"P"
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3332.537,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3413.665,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3648.239,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4189.524,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4505.373,"E"
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4248.721,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4314.384,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4624.228,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5177.946,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5510.237,"E"
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5290.997,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",5389.886,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5910.842,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",6424.421,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",6929.641,"P"
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1370.67,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1445.289,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1537.205,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1699.982,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",1785.425,"E"
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1465.376,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1438.796,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1714.458,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1991.498,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2054.945,"P"
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3610.517,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3694.715,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4196.834,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4536.042,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4677.63,"P"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2582.087,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2629.244,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2849.558,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",3050.576,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",3254.559,"P"
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4449.363,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4570.573,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4865.003,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5397.426,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5526.961,"P"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4501.226,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4673.022,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5265.89,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5765.778,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",6186.382,"E"
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1506.142,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1602.31,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1652.078,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1827.855,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2226.635,"P"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1918.957,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1961.577,
